"Device Name","IP Addresses","Status","OS Info","Version","Agent Install Date","Last Contact Date","Queued Deployments"
"\\ISSHDK-FRZLT31","161.253.143.197","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 5:46:01 PM (Local)","9/9/2010 7:00:55 PM (Local)","0"
"\\CEH-JGR-R313D","128.164.33.147","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 4:44:58 PM (Local)","8/31/2010 10:35:04 AM (Local)","0"
"\\ANALAB-011","128.164.29.57","Sleeping","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/10/2010 1:22:50 AM (Local)","9/10/2010 4:06:48 AM (Local)","8"
"\\ERPP-WR","128.164.239.246","Offline","Microsoft Windows XP Professional-SERVICE PACK 2","6.4.2.420","8/12/2010 10:31:44 AM (Local)","9/8/2010 10:47:29 AM (Local)","0"
"\\ISS-HD-PLASMA","128.164.107.130","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 5:09:40 PM (Local)","9/10/2010 8:52:21 AM (Local)","0"
"\\SASSADM-DGPXDH1","128.164.235.29","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","5/20/2010 9:39:52 AM (Local)","9/10/2010 9:33:19 AM (Local)","0"
"\\MO0102B003","128.164.61.3","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/10/2010 4:08:48 AM (Local)","9/10/2010 10:13:38 AM (Local)","0"
"\\FN00209T01","128.164.62.250","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/25/2010 4:07:52 AM (Local)","9/10/2010 10:09:15 AM (Local)","0"
"\\CCASHS-53QTV61","128.164.247.154","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 4:12:03 PM (Local)","9/10/2010 9:34:51 AM (Local)","0"
"\\CPSADM-DJ3YYXG1","128.164.121.122","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 9:03:04 AM (Local)","9/10/2010 9:26:28 AM (Local)","0"
"\\CCAREL-2DDMQ21","128.164.121.184","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 8:59:27 AM (Local)","9/10/2010 8:34:10 AM (Local)","0"
"\\GLSP-FOUNDATION","161.253.138.145","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","7/12/2010 11:42:13 AM (Local)","9/10/2010 9:31:27 AM (Local)","0"
"\\PRESPIO-13LTJK1","192.168.0.2","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/16/2010 9:28:48 PM (Local)","9/10/2010 9:09:02 AM (Local)","0"
"\\MC-DHPJDLS716W","128.164.185.91","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","7/30/2010 2:18:49 PM (Local)","9/10/2010 10:12:10 AM (Local)","0"
"\\GWSBG-HT8MHN1","192.168.1.42","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/19/2010 11:57:46 AM (Local)","9/9/2010 7:26:03 PM (Local)","0"
"\\EVPGWD-7VV67C1","128.164.196.91","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 5:29:43 PM (Local)","9/8/2010 7:56:26 PM (Local)","0"
"\\ISSTOP-2G3LYC1","128.164.142.128","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/15/2010 8:03:14 AM (Local)","9/10/2010 8:58:16 AM (Local)","0"
"\\BSCSJS-21PEN813","128.164.178.138","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","6/1/2010 3:41:12 PM (Local)","9/8/2010 9:26:01 AM (Local)","0"
"\\BCM-BXZ-R725-LT","192.168.1.100","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 4:32:17 PM (Local)","9/9/2010 10:16:57 PM (Local)","0"
"\\MC-BCMKRWR3W","128.164.35.40","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/31/2010 9:29:47 AM (Local)","9/10/2010 9:46:39 AM (Local)","1"
"\\GLSS-SPINEL3","128.164.215.99","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 3:08:25 PM (Local)","9/10/2010 8:15:23 AM (Local)","0"
"\\MLB-EAR-H301","128.164.87.110","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 2:12:38 PM (Local)","8/18/2010 5:13:37 PM (Local)","4"
"\\201C","128.164.32.164","Sleeping","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/10/2010 1:19:39 AM (Local)","9/10/2010 4:04:15 AM (Local)","8"
